0,1,2,3,4,5,6,7
1.5,34.47,150.0,561.3986666666666,1000000.0,22.0,22.0,0.0
1.5,68.95,150.0,546.001,1000000.0,22.0,22.0,0.0
1.5,137.9,150.0,404.94233333333335,1000000.0,22.0,22.0,0.0
1.5,275.79,150.0,416.60900000000004,1000000.0,22.0,22.0,0.0
1.5,34.47,250.0,456.3919999999999,1000000.0,22.0,22.0,0.0
1.5,68.95,250.0,427.1769999999999,1000000.0,22.0,22.0,0.0
1.5,137.9,250.0,427.8436666666666,1000000.0,22.0,22.0,0.0
1.5,275.79,250.0,436.7089999999999,1000000.0,22.0,22.0,0.0
1.5,34.47,400.0,510.26533333333333,1000000.0,22.0,22.0,0.0
1.5,68.95,400.0,497.9616666666667,1000000.0,22.0,22.0,0.0
1.5,137.9,400.0,476.45033333333333,1000000.0,22.0,22.0,0.0
1.5,275.79,400.0,436.7089999999999,1000000.0,22.0,22.0,0.0
3.0,215.0,250.0,370.2,3000000.0,22.0,22.0,0.0
3.0,215.0,250.0,564.6183333333335,3000000.0,22.0,22.0,3.0
3.0,215.0,250.0,336.92,3000000.0,22.0,22.0,5.0
2.0,115.43333333333334,330.0,519.7553333333334,5250000.0,22.0,22.0,0.0
3.0,115.43333333333334,330.0,519.7553333333334,5250000.0,22.0,22.0,0.0
4.0,115.43333333333334,330.0,519.7553333333334,5250000.0,22.0,22.0,0.0
5.0,115.43333333333334,330.0,519.7553333333334,5250000.0,22.0,22.0,0.0
6.0,115.43333333333334,330.0,519.7553333333334,5250000.0,22.0,22.0,0.0
4.0,115.43333333333334,330.0,519.7553333333334,5250000.0,22.0,22.0,0.0
4.0,115.43333333333334,330.0,519.7553333333334,5250000.0,22.0,22.0,2.0
4.0,115.43333333333334,330.0,515.024,5250000.0,22.0,22.0,4.0
4.0,115.43333333333334,330.0,515.024,5250000.0,22.0,22.0,7.0
4.0,115.43333333333334,330.0,515.0239999999999,5250000.0,22.0,22.0,9.0
4.0,115.43333333333334,330.0,515.0239999999999,5250000.0,22.0,22.0,11.0
1.0,15.0,413.0,1034.3415233333335,6000000.0,22.0,22.0,1.0
1.0,15.0,413.0,1034.3415233333335,6000000.0,22.0,22.0,14.0
1.0,15.0,413.0,1034.3415233333333,6000000.0,22.0,22.0,28.0
1.0,6.0,413.0,1034.3415233333335,6000000.0,22.0,22.0,1.0
1.0,6.0,413.0,1034.3415233333333,6000000.0,22.0,22.0,14.0
1.0,6.0,413.0,1034.3415233333335,6000000.0,22.0,22.0,28.0
1.0,21.0,337.0,966.0185233333334,6000000.0,22.0,22.0,1.0
1.0,21.0,337.0,972.7491900000001,6000000.0,22.0,22.0,14.0
1.0,21.0,337.0,972.7491900000001,6000000.0,22.0,22.0,28.0
1.0,28.0,260.0,966.0185233333334,6000000.0,22.0,22.0,1.0
1.0,28.0,260.0,972.7491900000002,6000000.0,22.0,22.0,14.0
1.0,28.0,260.0,972.7491900000002,6000000.0,22.0,22.0,28.0
1.0,6.0,260.0,966.0185233333334,6000000.0,22.0,22.0,1.0
1.0,6.0,260.0,972.7491900000002,6000000.0,22.0,22.0,14.0
1.0,6.0,260.0,972.7491900000002,6000000.0,22.0,22.0,28.0
1.0,38.0,210.0,966.0185233333335,6000000.0,22.0,22.0,1.0
